Permissible Value	Label	URL
CL:0004162	360 nm-cone	<http://purl.obolibrary.org/obo/CL_0004162>
CL:0004161	510 nm-cone	<http://purl.obolibrary.org/obo/CL_0004161>
CL:0004219	A2 amacrine cell	<http://purl.obolibrary.org/obo/CL_0004219>
CL:0004229	A2-like amacrine cell	<http://purl.obolibrary.org/obo/CL_0004229>
CL:0004235	AB broad diffuse-1 amacrine cell	<http://purl.obolibrary.org/obo/CL_0004235>
CL:0004236	AB broad diffuse-2 amacrine cell	<http://purl.obolibrary.org/obo/CL_0004236>
CL:0004223	AB diffuse-1 amacrine cell	<http://purl.obolibrary.org/obo/CL_0004223>
CL:0004224	AB diffuse-2 amacrine cell	<http://purl.obolibrary.org/obo/CL_0004224>
CL:0002360	AGM hematopoietic stem cell	<http://purl.obolibrary.org/obo/CL_0002360>
CL:2000088	Ammon's horn basket cell	<http://purl.obolibrary.org/obo/CL_2000088>
CL:0017009	"Axl+ dendritic cell, human"	<http://purl.obolibrary.org/obo/CL_0017009>
CL:0000236	B cell	<http://purl.obolibrary.org/obo/CL_0000236>
CL:0009050	B cell of anorectum	<http://purl.obolibrary.org/obo/CL_0009050>
CL:0009032	B cell of appendix	<http://purl.obolibrary.org/obo/CL_0009032>
CL:0009045	B cell of medullary sinus of lymph node	<http://purl.obolibrary.org/obo/CL_0009045>
CL:0009104	B cell zone reticular cell	<http://purl.obolibrary.org/obo/CL_0009104>
CL:0001201	"B cell, CD19-positive"	<http://purl.obolibrary.org/obo/CL_0001201>
CL:0000819	B-1 B cell	<http://purl.obolibrary.org/obo/CL_0000819>
CL:0000820	B-1a B cell	<http://purl.obolibrary.org/obo/CL_0000820>
CL:0000821	B-1b B cell	<http://purl.obolibrary.org/obo/CL_0000821>
CL:0000822	B-2 B cell	<http://purl.obolibrary.org/obo/CL_0000822>
CL:0017006	B-lymphoblast	<http://purl.obolibrary.org/obo/CL_0017006>
CL:0002113	B220-low CD38-negative unswitched memory B cell	<http://purl.obolibrary.org/obo/CL_0002113>
CL:0002123	B220-low CD38-positive IgG-negative class switched memory B cell	<http://purl.obolibrary.org/obo/CL_0002123>
CL:0002110	B220-low CD38-positive naive B cell	<http://purl.obolibrary.org/obo/CL_0002110>
CL:0002116	B220-low CD38-positive unswitched memory B cell	<http://purl.obolibrary.org/obo/CL_0002116>
CL:0002112	B220-positive CD38-negative unswitched memory B cell	<http://purl.obolibrary.org/obo/CL_0002112>
CL:0002122	B220-positive CD38-positive IgG-negative class switched memory B cell	<http://purl.obolibrary.org/obo/CL_0002122>
CL:0002109	B220-positive CD38-positive naive B cell	<http://purl.obolibrary.org/obo/CL_0002109>
CL:0002115	B220-positive CD38-positive unswitched memory B cell	<http://purl.obolibrary.org/obo/CL_0002115>
CL:4047052	BEST4+ colonocyte	<http://purl.obolibrary.org/obo/CL_4047052>
CL:4030026	BEST4+ enterocyte	<http://purl.obolibrary.org/obo/CL_4030026>
CL:0000968	Be cell	<http://purl.obolibrary.org/obo/CL_0000968>
CL:0000943	Be1 Cell	<http://purl.obolibrary.org/obo/CL_0000943>
CL:0000944	Be2 cell	<http://purl.obolibrary.org/obo/CL_0000944>
CL:0000644	Bergmann glial cell	<http://purl.obolibrary.org/obo/CL_0000644>
CL:0008049	Betz cell	<http://purl.obolibrary.org/obo/CL_0008049>
CL:4023052	Betz upper motor neuron	<http://purl.obolibrary.org/obo/CL_4023052>
CL:0000961	Bm1 B cell	<http://purl.obolibrary.org/obo/CL_0000961>
CL:0000962	Bm2 B cell	<http://purl.obolibrary.org/obo/CL_0000962>
CL:0000964	Bm2' B cell	<http://purl.obolibrary.org/obo/CL_0000964>
CL:0000965	Bm3 B cell	<http://purl.obolibrary.org/obo/CL_0000965>
CL:0000963	Bm3-delta B cell	<http://purl.obolibrary.org/obo/CL_0000963>
CL:0000966	Bm4 B cell	<http://purl.obolibrary.org/obo/CL_0000966>
CL:0000967	Bm5 B cell	<http://purl.obolibrary.org/obo/CL_0000967>
