Permissible Values	Label	NCIT	ICD10CM	ICD9	ICD-O_3.1
MONDO:0000001	disease	NCIT:C2991			
MONDO:0000004	adrenocortical insufficiency	NCIT:C26691			
MONDO:0000022	nocturnal enuresis	NCIT:C118172			
MONDO:0000087	polymicrogyria	NCIT:C116936			
MONDO:0000088	precocious puberty	NCIT:C79704			
MONDO:0000115	Chiari malformation	NCIT:C84570			
MONDO:0000128	giant axonal neuropathy	NCIT:C84728			
MONDO:0000147	polyposis	NCIT:C4089			
MONDO:0000153	transposition of the great arteries	NCIT:C84742			
MONDO:0000159	bone marrow failure syndrome	NCIT:C165614			
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	NCIT:C99109			
MONDO:0000179	Neu-Laxova syndrome	NCIT:C14089			
MONDO:0000190	ventricular fibrillation	NCIT:C50799			
MONDO:0000212	hypercalcemia, infantile	NCIT:C129734			
MONDO:0000226	mineral metabolism disease		ICD10CM:E83		
MONDO:0000263	laryngotracheitis			ICD9:464	
MONDO:0000297	baylisascariasis	NCIT:C128397			
MONDO:0000313	hypophosphatemia	NCIT:C37977			
MONDO:0000327	Buruli ulcer disease	NCIT:C84604			
MONDO:0000330	endemic typhus	NCIT:C84688			
MONDO:0000334	multinodular goiter	NCIT:C131438			
MONDO:0000337	exanthema subitum	NCIT:C128420			
MONDO:0000355	Ullrich congenital muscular dystrophy	NCIT:C123438			
MONDO:0000359	spondylocostal dysostosis	NCIT:C125598			
MONDO:0000365	primary congenital glaucoma	NCIT:C150251			
MONDO:0000367	taeniasis	NCIT:C85180	ICD10CM:B68		
MONDO:0000371	oral cavity carcinoma in situ	NCIT:C4587			
MONDO:0000372	pharynx carcinoma in situ	NCIT:C4942			
MONDO:0000373	gall bladder carcinoma in situ	NCIT:C4439			
MONDO:0000374	bile duct carcinoma in situ	NCIT:C134609			
MONDO:0000376	respiratory system cancer	NCIT:C4571			
MONDO:0000377	malignant Leydig cell tumor	NCIT:C4213			8650/3
MONDO:0000378	malignant Sertoli cell tumor	NCIT:C67006			8630/3
MONDO:0000380	paranasal sinus carcinoma	NCIT:C6014			
MONDO:0000382	respiratory system benign neoplasm	NCIT:C8531			
MONDO:0000383	benign reproductive system neoplasm	NCIT:C7617			
MONDO:0000384	bladder benign neoplasm	NCIT:C3618			
MONDO:0000385	benign digestive system neoplasm	NCIT:C4787			
MONDO:0000386	digestive system neuroendocrine tumor, grade 1/2	NCIT:C95404			
MONDO:0000390	vitelliform macular dystrophy	NCIT:C118788			
MONDO:0000395	alcohol-related birth defect	NCIT:C92727			
MONDO:0000396	spastic cerebral palsy	NCIT:C116903			
MONDO:0000397	ataxic cerebral palsy	NCIT:C97168			
MONDO:0000400	mixed cerebral palsy	NCIT:C97177			
MONDO:0000402	small cell carcinoma	NCIT:C3915			8041/3
MONDO:0000408	fetal alcohol spectrum disorder	NCIT:C92780			
MONDO:0000409	chorioamnionitis	NCIT:C26720			
MONDO:0000410	funisitis	NCIT:C97077			
MONDO:0000425	X-linked disease	NCIT:C85865			
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	NCIT:C3468			970-971
MONDO:0000432	lymphoplasmacytic lymphoma	NCIT:C3212			9671/3
MONDO:0000437	cerebellar ataxia	NCIT:C82341			
MONDO:0000447	autosomal dominant polycystic liver disease	NCIT:C82833			
MONDO:0000448	paraganglioma	NCIT:C3308			8680/1
MONDO:0000453	short QT syndrome	NCIT:C71060			
MONDO:0000457	classical glioblastoma	NCIT:C111694			
MONDO:0000458	proneural glioblastoma	NCIT:C111692			
MONDO:0000459	mesenchymal glioblastoma	NCIT:C111695			
MONDO:0000460	neural glioblastoma	NCIT:C111693			
MONDO:0000466	first-degree atrioventricular block	NCIT:C62015			
MONDO:0000467	second-degree atrioventricular block	NCIT:C111119			
MONDO:0000468	third-degree atrioventricular block	NCIT:C50501			
MONDO:0000471	tricuspid valve disorder	NCIT:C78649			
MONDO:0000473	arterial disorder	NCIT:C35317			
MONDO:0000481	cervical dystonia	NCIT:C85072			
MONDO:0000490	glomerulosclerosis	NCIT:C120888			
MONDO:0000495	oppositional defiant disorder	NCIT:C92565			
MONDO:0000496	hemorrhagic cystitis	NCIT:C114666			
